,Compound,Date,Negative,Neutral,Positive,Tweet,User
125,-0.4019,Mon Jan 15 03:30:05 +0000 2018,0.231,0.769,0.0,Pope Francis faces tensions on South America trip https://t.co/fgCzAXzNp2 https://t.co/nWNbl5PRMN,CNN
126,0.0,Mon Jan 15 03:19:41 +0000 2018,0.0,1.0,0.0,The NFL playoff game between the Pittsburgh Steelers and Jacksonville Jaguars went off without a hitch Sunday after… https://t.co/W8Cxr9AyxG,CNN
127,-0.4404,Mon Jan 15 03:06:51 +0000 2018,0.139,0.861,0.0,Republican Sen. Jeff Flake expected to deliver floor speech comparing Donald Trump's attacks on media to the rhetor… https://t.co/YdvUmj4SWe,CNN
128,0.7506,Mon Jan 15 02:58:02 +0000 2018,0.0,0.766,0.234,"Pope Francis' trip to South America this week is supposed to be all about peace, unity and hope. But the pontiff co… https://t.co/7ahjjpVlOA",CNN
129,-0.5423,Mon Jan 15 02:48:54 +0000 2018,0.41,0.432,0.158,What went wrong with Hawaii's false emergency alert https://t.co/fjy61y5FMG,CNN
130,0.0,Mon Jan 15 02:30:04 +0000 2018,0.0,1.0,0.0,Lawmakers bemoan backlash over President Trump's comments amid bipartisan push for DACA deal https://t.co/D7aieSPe9j https://t.co/GhpLsBugxt,CNN
131,-0.6908,Mon Jan 15 02:30:04 +0000 2018,0.231,0.769,0.0,This is how the missile detection and emergency messaging systems are supposed to work — and what went wrong in Haw… https://t.co/7iVBPidjFw,CNN
132,0.0,Mon Jan 15 02:25:51 +0000 2018,0.0,1.0,0.0,"'This place is a shithole' projected onto Trump hotel, with emojis https://t.co/DWVdDmSPUk",CNN
133,0.1779,Mon Jan 15 02:08:25 +0000 2018,0.0,0.909,0.091,"A growing movement is targeting single-use plastic straws, which are not recyclable and often end up littering the… https://t.co/IdAcBXI7vh",CNN
134,0.0,Mon Jan 15 02:00:20 +0000 2018,0.0,1.0,0.0,"Donald Trump owes each and every American money, writes Dean Obeidallah for @CNNOpinion https://t.co/m6JA2YQRuw https://t.co/HIKd2YKp2g",CNN
135,0.0772,Mon Jan 15 01:54:22 +0000 2018,0.0,0.925,0.075,Palestinian Authority President Mahmoud Abbas appears to have confirmed reports that the Trump administration has e… https://t.co/IarWjcTR36,CNN
